0.00.047.272 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.323.442 W srv  llama_server: -----------------
0.00.323.447 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.323.447 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.323.447 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.323.448 W srv  llama_server: -----------------
0.00.324.806 I srv    load_model: loading model '/root/Qwen3.8-27B-UD-Q4_K_M.gguf'
0.01.113.321 E llama_init_from_model: failed to initialize the context: dflash requires ctx_other to be set (this warning is normal during memory fitting)
0.01.179.168 W srv    load_model: [spec] failed to measure draft model memory: failed to create llama_context from model
0.02.667.063 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.02.667.075 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.02.667.091 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.02.667.097 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.02.667.103 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.02.667.125 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.02.667.131 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.02.667.136 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.02.667.142 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.02.667.148 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.02.667.154 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.02.667.161 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.02.667.168 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.02.667.174 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.02.667.192 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.05.014.528 I cmn          init: llama threadpool init, n_threads = 8
0.05.165.985 I common_speculative_init_result: loading draft model '/root/Qwen3.8-27B-DFlash2-Q4_K_M.gguf'
0.06.195.580 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.06.195.614 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.06.195.616 I common_speculative_impl_draft_dflash: - n_max=3, n_min=0, p_min=0.00
0.06.195.617 I common_speculative_impl_draft_dflash: - block_size=8, mask_token_id=248070, n_extract=5, sample_from_anchor=true
0.06.255.370 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.255.417 I srv  llama_server: model loaded
0.06.255.422 I srv  llama_server: listening on http://127.0.0.1:8300
0.10.100.820 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.100.894 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.18.370.723 I slot print_timing: id  3 | task 0 | n_gen =    100, tg =  17.21 t/s, tg_3s =  17.39 t/s
0.21.467.280 I slot print_timing: id  3 | task 0 | n_gen =    142, tg =  15.93 t/s, tg_3s =  13.56 t/s
0.24.575.596 I slot print_timing: id  3 | task 0 | n_gen =    182, tg =  15.14 t/s, tg_3s =  12.87 t/s
0.27.689.416 I slot print_timing: id  3 | task 0 | n_gen =    225, tg =  14.86 t/s, tg_3s =  13.81 t/s
0.30.803.012 I slot print_timing: id  3 | task 0 | n_gen =    273, tg =  14.96 t/s, tg_3s =  15.42 t/s
0.33.913.139 I slot print_timing: id  3 | task 0 | n_gen =    310, tg =  14.51 t/s, tg_3s =  11.90 t/s
0.37.017.467 I slot print_timing: id  3 | task 0 | n_gen =    352, tg =  14.39 t/s, tg_3s =  13.53 t/s
0.40.131.536 I slot print_timing: id  3 | task 0 | prompt eval time =    2517.70 ms /    96 tokens (   26.23 ms per token,    38.13 tokens per second)
0.40.131.542 I slot print_timing: id  3 | task 0 |        eval time =   27512.83 ms /   400 tokens (   68.95 ms per token,    14.50 tokens per second)
0.40.131.543 I slot print_timing: id  3 | task 0 |       total time =   30030.54 ms /   496 tokens
0.40.131.548 I slot print_timing: id  3 | task 0 |    graphs reused =        167
0.40.131.554 I slot print_timing: id  3 | task 0 | draft acceptance = 0.45833 (  231 accepted /   504 generated), mean len =  2.38
0.40.131.617 I slot      release: id  3 | task 0 | stop processing: n_tokens = 495, truncated = 0
0.40.242.950 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.194
0.40.600.410 I slot launch_slot_: id  3 | task 172 | processing task, is_child = 0
0.48.568.663 I slot print_timing: id  3 | task 172 | n_gen =    100, tg =  17.24 t/s, tg_3s =  17.42 t/s
0.51.684.691 I slot print_timing: id  3 | task 172 | n_gen =    142, tg =  15.92 t/s, tg_3s =  13.48 t/s
0.54.799.188 I slot print_timing: id  3 | task 172 | n_gen =    182, tg =  15.12 t/s, tg_3s =  12.84 t/s
0.57.918.273 I slot print_timing: id  3 | task 172 | n_gen =    225, tg =  14.84 t/s, tg_3s =  13.79 t/s
1.01.043.856 I slot print_timing: id  3 | task 172 | n_gen =    273, tg =  14.93 t/s, tg_3s =  15.36 t/s
1.04.147.304 I slot print_timing: id  3 | task 172 | n_gen =    310, tg =  14.49 t/s, tg_3s =  11.92 t/s
1.07.266.988 I slot print_timing: id  3 | task 172 | n_gen =    352, tg =  14.36 t/s, tg_3s =  13.46 t/s
1.10.387.555 I slot print_timing: id  3 | task 172 | prompt eval time =    2226.24 ms /    96 tokens (   23.19 ms per token,    43.12 tokens per second)
1.10.387.561 I slot print_timing: id  3 | task 172 |        eval time =   27560.81 ms /   400 tokens (   69.07 ms per token,    14.48 tokens per second)
1.10.387.562 I slot print_timing: id  3 | task 172 |       total time =   29787.06 ms /   496 tokens
1.10.387.563 I slot print_timing: id  3 | task 172 |    graphs reused =        333
1.10.387.568 I slot print_timing: id  3 | task 172 | draft acceptance = 0.45833 (  231 accepted /   504 generated), mean len =  2.38
1.10.387.611 I slot      release: id  3 | task 172 | stop processing: n_tokens = 495, truncated = 0
