0.00.089.096 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.090.008 W srv  llama_server: -----------------
0.00.090.011 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.090.012 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.090.012 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.090.012 W srv  llama_server: -----------------
0.00.091.338 I srv    load_model: loading model '/root/Qwen3.8-27B-UD-Q4_K_M.gguf'
0.00.091.509 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.10.541.299 I cmn          init: llama threadpool init, n_threads = 8
0.10.744.707 I common_speculative_init_result: loading draft model '/root/mtp-Qwen3.8-27B-Q4_0.gguf'
0.11.972.736 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 100096, kv_unified = 'false'
0.11.972.905 W set_sampler: backend sampling not supported with SPLIT_MODE_TENSOR; using CPU
0.11.972.909 W spec common_specu: backend offload failed for seq_id=0; using CPU sampler
0.11.993.644 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.11.993.689 I srv  llama_server: model loaded
0.11.993.696 I srv  llama_server: listening on http://127.0.0.1:8300
0.19.628.569 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.19.628.781 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.26.340.147 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2090, progress = 0.02, t =   6.02 s / 347.06 tokens per second
0.32.333.137 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4138, progress = 0.04, t =  12.03 s / 343.88 tokens per second
0.38.517.558 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6186, progress = 0.06, t =  18.20 s / 339.95 tokens per second
0.44.876.139 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8234, progress = 0.08, t =  24.53 s / 335.67 tokens per second
0.51.402.951 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10282, progress = 0.11, t =  31.04 s / 331.27 tokens per second
0.58.110.055 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12330, progress = 0.13, t =  37.73 s / 326.80 tokens per second
1.04.998.020 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14378, progress = 0.15, t =  44.59 s / 322.44 tokens per second
1.12.041.522 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16426, progress = 0.17, t =  51.61 s / 318.25 tokens per second
1.19.279.913 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18474, progress = 0.19, t =  58.83 s / 314.04 tokens per second
1.26.670.926 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20522, progress = 0.21, t =  66.20 s / 310.01 tokens per second
1.34.238.643 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22570, progress = 0.23, t =  73.74 s / 306.06 tokens per second
1.41.984.008 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24618, progress = 0.25, t =  81.46 s / 302.20 tokens per second
1.49.901.811 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26666, progress = 0.27, t =  89.36 s / 298.42 tokens per second
1.57.983.959 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28714, progress = 0.29, t =  97.42 s / 294.75 tokens per second
2.06.233.169 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30762, progress = 0.31, t = 105.65 s / 291.17 tokens per second
2.14.632.169 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32810, progress = 0.34, t = 114.03 s / 287.74 tokens per second
