0.00.035.464 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.357 W srv  llama_server: -----------------
0.00.036.361 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.361 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.361 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.362 W srv  llama_server: -----------------
0.00.037.690 I srv    load_model: loading model '/root/Qwen3.8-27B-UD-Q4_K_M.gguf'
0.00.037.861 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.04.063.948 W internal AllReduce init failed (n_devices != 2?); falling back to meta-backend butterfly
0.04.137.921 I cmn          init: llama threadpool init, n_threads = 8
0.04.335.444 I common_speculative_init_result: loading draft model '/root/mtp-Qwen3.8-27B-Q4_0.gguf'
0.05.149.521 W internal AllReduce init failed (n_devices != 2?); falling back to meta-backend butterfly
0.05.257.552 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.05.257.736 W set_sampler: backend sampling not supported with SPLIT_MODE_TENSOR; using CPU
0.05.257.739 W spec common_specu: backend offload failed for seq_id=0; using CPU sampler
0.05.257.743 W spec common_specu: backend offload failed for seq_id=1; using CPU sampler
0.05.257.744 W spec common_specu: backend offload failed for seq_id=2; using CPU sampler
0.05.257.744 W spec common_specu: backend offload failed for seq_id=3; using CPU sampler
0.05.277.304 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.05.277.346 I srv  llama_server: model loaded
0.05.277.351 I srv  llama_server: listening on http://127.0.0.1:8300
0.10.151.852 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.10.151.960 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.20.756.950 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2090, progress = 0.15, t =   9.67 s / 216.24 tokens per second
0.30.642.235 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4138, progress = 0.29, t =  19.59 s / 211.24 tokens per second
0.40.670.609 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   6186, progress = 0.44, t =  29.62 s / 208.87 tokens per second
0.50.848.264 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   8234, progress = 0.58, t =  39.78 s / 207.00 tokens per second
1.01.195.893 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  10282, progress = 0.72, t =  50.10 s / 205.23 tokens per second
1.11.706.527 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  12330, progress = 0.87, t =  60.59 s / 203.50 tokens per second
1.18.595.996 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  13671, progress = 0.96, t =  67.86 s / 201.47 tokens per second
1.21.435.258 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =  14183, progress = 1.00, t =  70.52 s / 201.12 tokens per second
1.25.034.042 I slot print_timing: id  3 | task 0 | n_gen =    102, tg =  30.70 t/s, tg_3s =  31.00 t/s
1.28.120.408 I slot print_timing: id  3 | task 0 | n_gen =    194, tg =  30.27 t/s, tg_3s =  29.81 t/s
1.31.165.390 I slot print_timing: id  3 | task 0 | n_gen =    278, tg =  29.40 t/s, tg_3s =  27.59 t/s
1.34.206.229 I slot print_timing: id  3 | task 0 | n_gen =    362, tg =  28.97 t/s, tg_3s =  27.62 t/s
1.35.422.454 I slot print_timing: id  3 | task 0 | prompt eval time =   71591.53 ms / 14187 tokens (    5.05 ms per token,   198.17 tokens per second)
1.35.422.460 I slot print_timing: id  3 | task 0 |        eval time =   13678.79 ms /   400 tokens (   34.28 ms per token,    29.17 tokens per second)
1.35.422.462 I slot print_timing: id  3 | task 0 |       total time =   85270.32 ms / 14587 tokens
1.35.422.467 I slot print_timing: id  3 | task 0 |    graphs reused =        123
1.35.422.472 I slot print_timing: id  3 | task 0 | draft acceptance = 0.73262 (  274 accepted /   374 generated), mean len =  3.19
1.35.423.359 I slot      release: id  3 | task 0 | stop processing: n_tokens = 14586, truncated = 0
1.35.602.016 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
1.35.602.105 I slot launch_slot_: id  3 | task 136 | processing task, is_child = 0
1.46.139.430 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =   2090, progress = 0.15, t =   9.66 s / 216.35 tokens per second
1.56.022.432 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =   4138, progress = 0.29, t =  19.54 s / 211.81 tokens per second
2.06.060.899 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =   6186, progress = 0.44, t =  29.55 s / 209.34 tokens per second
2.16.245.751 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =   8234, progress = 0.58, t =  39.72 s / 207.29 tokens per second
2.26.591.623 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =  10282, progress = 0.72, t =  50.05 s / 205.43 tokens per second
2.37.103.698 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =  12330, progress = 0.87, t =  60.54 s / 203.67 tokens per second
2.43.966.390 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =  13671, progress = 0.96, t =  67.78 s / 201.69 tokens per second
2.46.801.351 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =  14183, progress = 1.00, t =  70.44 s / 201.35 tokens per second
2.50.381.431 I slot print_timing: id  3 | task 136 | n_gen =    102, tg =  30.84 t/s, tg_3s =  31.14 t/s
2.53.450.212 I slot print_timing: id  3 | task 136 | n_gen =    192, tg =  30.11 t/s, tg_3s =  29.33 t/s
2.56.480.317 I slot print_timing: id  3 | task 136 | n_gen =    274, tg =  29.12 t/s, tg_3s =  27.06 t/s
2.59.507.244 I slot print_timing: id  3 | task 136 | n_gen =    360, tg =  28.95 t/s, tg_3s =  28.41 t/s
3.00.724.367 I slot print_timing: id  3 | task 136 | prompt eval time =   71503.65 ms / 14187 tokens (    5.04 ms per token,   198.41 tokens per second)
3.00.724.373 I slot print_timing: id  3 | task 136 |        eval time =   13618.26 ms /   400 tokens (   34.13 ms per token,    29.30 tokens per second)
3.00.724.374 I slot print_timing: id  3 | task 136 |       total time =   85121.91 ms / 14587 tokens
3.00.724.375 I slot print_timing: id  3 | task 136 |    graphs reused =        245
3.00.724.380 I slot print_timing: id  3 | task 136 | draft acceptance = 0.73262 (  274 accepted /   374 generated), mean len =  3.19
