label,spec_type,drafter,placement,rep,decode_tps,prefill_tps,n_decoded,draft_n,draft_accepted,accept_pct,gpu0_mib,gpu1_mib,peak_temp,load_s,outcome
h11-mtp-default,draft-mtp,mtp-Qwen3.8-27B-Q4_0.gguf,default,1,13.91,22.40,400,510,229,44.9,8647,10997,57,182,ok
h11-mtp-default,draft-mtp,mtp-Qwen3.8-27B-Q4_0.gguf,default,2,14.11,43.72,400,513,228,44.4,8647,10997,58,182,ok
h11-mtp-default,draft-mtp,mtp-Qwen3.8-27B-Q4_0.gguf,default,3,14.11,43.54,400,513,228,44.4,8647,10997,59,182,ok
h11-none-control,none,none,default,1,12.80,47.85,400,0,0,,7693,8769,57,20,ok
h11-none-control,none,none,default,2,12.79,48.07,400,0,0,,7693,8769,59,20,ok
h11-none-control,none,none,default,3,12.79,48.04,400,0,0,,7693,8769,59,20,ok
h11-mtp-cuda0,draft-mtp,mtp-Qwen3.8-27B-Q4_0.gguf,CUDA0,1,14.23,42.98,400,510,229,44.9,9569,9983,57,10,ok
h11-mtp-cuda0,draft-mtp,mtp-Qwen3.8-27B-Q4_0.gguf,CUDA0,2,14.14,43.61,400,513,228,44.4,9569,9983,57,10,ok
h11-mtp-cuda0,draft-mtp,mtp-Qwen3.8-27B-Q4_0.gguf,CUDA0,3,14.11,43.49,400,513,228,44.4,9569,9983,58,10,ok
h11-mtp-cuda1,draft-mtp,mtp-Qwen3.8-27B-Q4_0.gguf,CUDA1,1,14.23,42.88,400,510,229,44.9,8647,10905,58,10,ok
h11-mtp-cuda1,draft-mtp,mtp-Qwen3.8-27B-Q4_0.gguf,CUDA1,2,14.12,43.65,400,513,228,44.4,8647,10905,59,10,ok
h11-mtp-cuda1,draft-mtp,mtp-Qwen3.8-27B-Q4_0.gguf,CUDA1,3,14.10,43.57,400,513,228,44.4,8647,10905,60,10,ok
h11-df2q4-default,draft-dflash,Qwen3.8-27B-DFlash2-Q4_K_M.gguf,default,1,14.41,38.12,400,504,231,45.8,9679,10619,58,21,ok
h11-df2q4-default,draft-dflash,Qwen3.8-27B-DFlash2-Q4_K_M.gguf,default,2,14.45,43.25,400,504,231,45.8,9679,10619,59,21,ok
h11-df2q4-default,draft-dflash,Qwen3.8-27B-DFlash2-Q4_K_M.gguf,default,3,14.46,42.98,400,504,231,45.8,9679,10619,59,21,ok
h11-df2q4-cuda0,draft-dflash,Qwen3.8-27B-DFlash2-Q4_K_M.gguf,CUDA0,0,,,,,,,,,,20,FAILED(load)
